"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Marauder";"Barracks";630
"Unit";"Marine";"Barracks";632
"Unit";"Marine";"Barracks";633
"Unit";"Marine";"Barracks";634
"Unit";"Marine";"Barracks";635
"Unit";"Marine";"Barracks";636
"Unit";"Marine";"Barracks";637
"Building";"MissileTurret";NA;638
"Building";"MissileTurret";NA;638
"Unit";"Marauder";"Barracks";638
"Unit";"Medivac";"Starport";640
"Unit";"Medivac";"Starport";642
"Unit";"Medivac";"Starport";644
"Building";"MissileTurret";NA;646
"Unit";"Medivac";"Starport";646
"Unit";"Medivac";"Starport";648
"Building";"MissileTurret";NA;650
"Unit";"Marine";"Barracks";650
"Unit";"Marauder";"Barracks";651
"Unit";"Marine";"Barracks";653
"Unit";"Marine";"Barracks";654
"Unit";"Marine";"Barracks";655
"Unit";"Marine";"Barracks";656
"Unit";"Liberator";"Starport";657
"Unit";"Liberator";"Starport";660
"Unit";"Marauder";"Barracks";663
"Unit";"Marine";"Barracks";665
"Unit";"Marine";"Barracks";666
"Unit";"Marine";"Barracks";667
"Unit";"Marine";"Barracks";668
"Unit";"Marine";"Barracks";669
"Unit";"Marine";"Barracks";670
"Unit";"Medivac";"Starport";671
"Unit";"Medivac";"Starport";673
"Unit";"Medivac";"Starport";675
"Unit";"Marauder";"Barracks";677
"Unit";"Marine";"Barracks";679
"Unit";"Marine";"Barracks";680
"Unit";"Marine";"Barracks";681
"Unit";"Marine";"Barracks";682
"Unit";"Marauder";"Barracks";687
"Unit";"Marauder";"Barracks";689
"Unit";"Marine";"Barracks";691
"Upgrade";"SprayTerran";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"TerranInfantryArmorsLevel1";NA;692
"Upgrade";"ShieldWall";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"PunisherGrenades";NA;692
"Upgrade";"TerranVehicleAndShipArmorsLevel1";NA;692
"Upgrade";"TerranInfantryArmorsLevel2";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"LiberatorAGRangeUpgrade";NA;692
"Upgrade";"TerranVehicleAndShipArmorsLevel2";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"TerranVehicleAndShipArmorsLevel3";NA;692
"Upgrade";"TerranInfantryArmorsLevel3";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"SprayTerran";NA;692
"Upgrade";"SprayTerran";NA;692
