"Hash";"EqualWeighted"
"080e38b8c4d2c400e76fe1297c3540420d4d8d36";0,0666666666666667
"09885eb40e2914f315ac475fb4801629b471a64b";0,133333333333333
"2adf88bb7be22461f340e3a86b3c6b8c90aa2511";0,2
"2e69ad8b7c25661ec0e4ee7be5a7fdf543eb6016";0,266666666666667
"312e8488abf4b5cf3ca54fb2a59a866c61b84255";0,333333333333333
"3fee0fac4ae027ecde8b7ac3d8d0feb4dd55a150";0,4
"413b537b2f6cccf61f86c2020c1e2d9938a4298b";0,466666666666667
"71fcc46895eae4c194a4fc99c70cf7227a695c5e";0,533333333333333
"a5f29b54ffe751bcc507cb3c065d4ea8ff037a57";0,6
"b7ce62b136f8e4b036783185a0e1c5a5a0fc3af2";0,666666666666667
"be0d452f5deb38454804c081bf0209d817d03133";0,733333333333333
"cf2b252fabcfe247440674619b8121d891793e5d";0,8
"d175e4ae90adc7f779ea99bb6d7f33cf88f8b16e";0,866666666666667
"e43f651216fe80c558a3874f03607a7d6e6f2d12";0,933333333333333
"e5b3b9a01cc54b16c570c703824eb4b4ff9898e7";1
