"Hash";"EqualWeighted"
"02be7351646f2cea4e8be7d2f466b849a09235d3";0,04
"07e45b0a2a416c03c451d8a1ece1dc4f18956af6";0,08
"0e6499b6b2923089e380c6f43229367ab91d23ed";0,12
"1fd6dd50f35e6f5166b0e0a059fe6b33ec3f3cc3";0,16
"2debac4a7f9c9a92d026dcc64d21b6d08a6f5c00";0,2
"33a7c2d9fc049e54b76c3b65dad8d25e0884ab81";0,24
"377c4e8b97e9f7ea2323627d147613eb3a0007c7";0,28
"3e3c710b7a7f8ed0fe96e44af3824389a3db294a";0,32
"43ca385119644469f64cf572d3b0b29ad1121401";0,36
"4530a5d8a09ce2a1efbaf58a4a3f8d925cde5670";0,4
"5197270dfc0b5535ffe48bfc77420f7e1dd66abc";0,44
"6c6fe1212fbc97dba5a54c8915a30e1e8274b3ba";0,48
"6e0184b13127a109f3eff1b5ddeed595b6a4d986";0,52
"70c5b9318eb581ece3bd09ee0555f73fb62918fb";0,56
"79af74d04a8ebdf9ab60c33438aa69f7c047e7c1";0,6
"7d7d6e84f7cbe6719d8a507c75ed9a901d8d0f73";0,64
"7eb5dbd35d5c942d3b13862799c12bf6d1fe8ebd";0,68
"8010887ac8d9f0b04440423cda7c57cf7e8feb11";0,72
"9c6e340e1ba92f642b27081123ccf9912ce2f60f";0,76
"a24a3738328d1e258466bec0fd88dc612d229aea";0,8
"dc0d9a2a4904f51ba3f73e23adbffc0b6ec1a80f";0,84
"e1a7e6c3b0e04a40df984180e68223af8ddaadb1";0,88
"e6a5292a07f63c7fe8f54ee02c7eb554c7366515";0,92
"fb7ee339f7929c31ab0f6b10122c28db250257f2";0,96
"fec0d2c1927cdec07aaeec2c6a0a3be8f354ef9d";1
