"Hash";"EqualWeighted"
"0e1d2be72add8f8c1d9c16945c360289e98d2322";0,04
"12b81d73810f80b425d6e37b0f7b5546aff98a0a";0,08
"153674b477c6272913c3b67470a7adf44e6dd346";0,12
"3598504da76ee0a8a6ee637ed085d9efa21ce418";0,16
"373494780577770ed7b4cf130749afa8a5ac8db9";0,2
"400e5b29ca487e1347723bbf6f240ea6d15e9a24";0,24
"46a11a2638a5542034f13fc19fb76c1eaf32b76e";0,28
"49c6eff2c84bd5182f23f4d16519a49d783081a5";0,32
"76c36a3d1024e5ca69c69fa50d455bb6f76af07f";0,36
"8aa8e6631e8f7fe22280ff136f7710b2ced6c3c0";0,4
"8fb033d72634e76bcbbcd9a7b2fd438eb2078be9";0,44
"a5ad5dd145de8cec23d182b3fb74c6d37b7a25a0";0,48
"a8028ad560cdbfeef1e3920d27fd68a2a14c7f43";0,52
"abe9e534e17bc57127e1e1a863b46df47b3f37d7";0,56
"b77046c63183bea57b51f0f6c1c6d35cb57ce182";0,6
"bb1800b916d2ce442adf9dbb4f75b993f309ae9a";0,64
"beaedeb53db60b0c9757c9135df9942076dac7f8";0,68
"bf8583294ee0a80741e7ba7622da926abebe9de9";0,72
"c5b41f870b6f3ed87597124f0e7a9beec080799e";0,76
"c8bd0029b79b9aec252c2859d2707fe1e6a22862";0,8
"d771d843c853bd3e0fe3a014865db235ad5bc544";0,84
"d98a4a36d16952b1f1c84fca8794c938f74c4cf6";0,88
"dd6171d01aa023f670206776de54494e74973fbf";0,92
"e4b2ef1769ce38448106978c2f97edab70676b67";0,96
"f1947b8819324cf6ee6338007bb191f1fe2d659f";1
